song,artist,album,id,link,added_at
"O, My Perfection",Chrome Sparks,Chrome Sparks,5NOVIpF0ceDFdyJfVcHwVO,https://open.spotify.com/track/5NOVIpF0ceDFdyJfVcHwVO,2024-09-28T04:29:28Z
Heal,Manatee Commune,Brush,4zw7vI1iJXQWKY2nIovIq1,https://open.spotify.com/track/4zw7vI1iJXQWKY2nIovIq1,2024-09-28T03:30:15Z
Inman,Manatee Commune,Manatee Commune,4bNJuNiiERUdHp7ixJNR9e,https://open.spotify.com/track/4bNJuNiiERUdHp7ixJNR9e,2024-09-28T02:45:48Z
My Dearest Friend,Manatee Commune,PDA,7msz5Fbs1lTPo63C8fu8mu,https://open.spotify.com/track/7msz5Fbs1lTPo63C8fu8mu,2024-09-28T00:36:53Z
True Summer,Point Point,True Summer,2HJvVka2YFKG2oiFS8pgf7,https://open.spotify.com/track/2HJvVka2YFKG2oiFS8pgf7,2024-09-26T13:43:10Z
Luanne,Moacir Santos,Maestro,0hCib6GpVAtXgWbx65EiEW,https://open.spotify.com/track/0hCib6GpVAtXgWbx65EiEW,2024-09-19T03:55:08Z
Masks Off,Yvois,Masks Off,0gphUUX4exoTKiOefknckl,https://open.spotify.com/track/0gphUUX4exoTKiOefknckl,2024-09-15T21:14:43Z
Phase,Howle,Phase,2Tc9u95gqhnfn9Q79TpgIa,https://open.spotify.com/track/2Tc9u95gqhnfn9Q79TpgIa,2024-09-09T14:52:00Z
Portals.022222,Frythm,Portals.022222,6v3G1BLoEdNaxKBIFDfF8g,https://open.spotify.com/track/6v3G1BLoEdNaxKBIFDfF8g,2024-09-09T14:32:07Z
relationships,Whysp,broken up,6zZnCAY2nmwt9NpamwGUH1,https://open.spotify.com/track/6zZnCAY2nmwt9NpamwGUH1,2024-09-04T02:39:08Z
roaming,"sleepless & lorn, Hanz","Dreamlike, Vol. 2",4DcfYUQZGTdivNenSu6CZp,https://open.spotify.com/track/4DcfYUQZGTdivNenSu6CZp,2024-09-04T01:08:32Z
Autumn Antique,Teebs,Ardour,36IONbK6S9l62QdJaCN2Zf,https://open.spotify.com/track/36IONbK6S9l62QdJaCN2Zf,2024-09-01T05:20:58Z
Prelude,Thrupence,Unfinished Business,5eWzCWYAEDBe8gT8KHDwkp,https://open.spotify.com/track/5eWzCWYAEDBe8gT8KHDwkp,2024-09-01T02:20:17Z
Far Africa,Village,Far Africa,19uUbkh0epXOymbO4IoMG7,https://open.spotify.com/track/19uUbkh0epXOymbO4IoMG7,2024-08-31T10:56:36Z
Venice Venture,Big Wild,Venice Venture,4IBwgoDpNG2p7EouVtFw0E,https://open.spotify.com/track/4IBwgoDpNG2p7EouVtFw0E,2024-08-21T16:51:20Z
Alegría,"Xenia Pestova Bennett, United Strings of Europe","The Night With... Live, Vol. 4",79Dq9uYL9LHvz2IDtHpbMs,https://open.spotify.com/track/79Dq9uYL9LHvz2IDtHpbMs,2024-08-03T04:49:01Z
Woah,Memblem,I'm always tired,1VJ4iz2VkOZLLvPx1oSGio,https://open.spotify.com/track/1VJ4iz2VkOZLLvPx1oSGio,2024-07-22T21:35:18Z
